article_path,article_title,video_path,video_title,score
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\kancelarske-notebooky.md,kancelarske notebooky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\kancelarskе-pocitace.md,kancelarskе pocitace,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\levne-herni-pocitace.md,levne herni pocitace,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\macbooky.md,macbooky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\mini-notebooky.md,mini notebooky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\mini-pocitace.md,mini pocitace,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\napajeci-zdroje.md,napajeci zdroje,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\nejlepsi-herni-pc (1).md,nejlepsi herni pc (1),,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\notebooky-acer.md,notebooky acer,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\notebooky-asus.md,notebooky asus,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\notebooky-dell.md,notebooky dell,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\notebooky-hp.md,notebooky hp,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\notebooky-lenovo.md,notebooky lenovo,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\notebooky-msi.md,notebooky msi,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\notebooky.md,notebooky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\operacni-pameti-pro-notebooky.md,operacni pameti pro notebooky,HelloComp_PREZENTACE\DOKUMENTACE.md,DOKUMENTACE PRO HelloComp PREZENTACE,0.143
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\operacni-pameti-pro-pocitace.md,operacni pameti pro pocitace,HelloComp_PREZENTACE\DOKUMENTACE.md,DOKUMENTACE PRO HelloComp PREZENTACE,0.143
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\operacni-pameti.md,operacni pameti,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\pc-bazar.md,pc bazar,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\pc-komponenty.md,pc komponenty,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\pc-skrine-case.md,pc skrine case,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\pocitace-na-strih-videa.md,pocitace na strih videa,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\pocitace-pro-cad.md,pocitace pro cad,HelloComp_PREZENTACE\DOKUMENTACE.md,DOKUMENTACE PRO HelloComp PREZENTACE,0.167
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\pocitace-pro-grafiky.md,pocitace pro grafiky,HelloComp_PREZENTACE\DOKUMENTACE.md,DOKUMENTACE PRO HelloComp PREZENTACE,0.167
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\pocitace.md,pocitace,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\pracovni-stanice.md,pracovni stanice,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory-amd-ryzen-3.md,procesory amd ryzen 3,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory-amd-ryzen-5.md,procesory amd ryzen 5,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory-amd-ryzen-7.md,procesory amd ryzen 7,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory-amd-ryzen-9.md,procesory amd ryzen 9,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory-amd.md,procesory amd,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory-intel-i5.md,procesory intel i5,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory-intel-i7.md,procesory intel i7,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory-intel-i9.md,procesory intel i9,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory-intel.md,procesory intel,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\procesory.md,procesory,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\ram-ddr3.md,ram ddr3,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\ram-ddr4.md,ram ddr4,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\ram-ddr5.md,ram ddr5,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\repasovane-herni-pc.md,repasovane herni pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\uloziste-hdd-ssd-pametove-karty.md,uloziste hdd ssd pametove karty,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\ventilatory.md,ventilatory,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\vodni-chlazeni.md,vodni chlazeni,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\vykonne-herni-pc.md,vykonne herni pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\vykup-elektroniky.md,vykup elektroniky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\vykup-telefonu.md,vykup telefonu,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\zakladni-desky-amd.md,zakladni desky amd,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\zakladni-desky.md,zakladni desky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\aktualizace-ovladacu-graficke-karty.md,aktualizace ovladacu graficke karty,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\bios-jak-spustit-nastaveni-a-sprava.md,bios jak spustit nastaveni a sprava,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\bottleneck.md,bottleneck,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\ceske-hry.md,ceske hry,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\chlazeni-a-teploty-pc.md,chlazeni a teploty pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\chlazeni-graficke-karty.md,chlazeni graficke karty,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\cisteni-a-udrzba-pc.md,cisteni a udrzba pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\cloudove-hrani-budoucnost.md,cloudove hrani budoucnost,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\co-je-procesor.md,co je procesor,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\co-jsou-ram-pameti.md,co jsou ram pameti,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\geforce-now.md,geforce now,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\herni-konference-a-show.md,herni konference a show,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\hry-atlas-zanru.md,hry atlas zanru,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\hry-legendarni-retro-hry.md,hry legendarni retro hry,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\hry-nejnarocnejsi-a-vyber-pc.md,hry nejnarocnejsi a vyber pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\hry-nenarocne-a-vyber-pc-do-20000.md,hry nenarocne a vyber pc do 20000,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\hry-tipy-na-hry-zdarma.md,hry tipy na hry zdarma,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-duplikovat-obrazovku-pc-na-tv.md,jak duplikovat obrazovku pc na tv,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-funguje-gpu.md,jak funguje gpu,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-hrat-mobilni-hry-na-pc.md,jak hrat mobilni hry na pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-otocit-a-zvetsit-obrazovku.md,jak otocit a zvetsit obrazovku,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-postavit-pocitac.md,jak postavit pocitac,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-grafickou-kartu.md,jak vybrat grafickou kartu,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-herni-pc.md,jak vybrat herni pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-herni-zidli.md,jak vybrat herni zidli,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-klavesnici.md,jak vybrat klavesnici,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-macbook.md,jak vybrat macbook,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-mikrofon.md,jak vybrat mikrofon,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-monitor.md,jak vybrat monitor,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-notebook.md,jak vybrat notebook,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-procesor.md,jak vybrat procesor,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-ram.md,jak vybrat ram,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-reproduktory.md,jak vybrat reproduktory,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-skrin.md,jak vybrat skrin,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-zdroj.md,jak vybrat zdroj,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vybrat-zidli.md,jak vybrat zidli,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-vycistit-monitor.md,jak vycistit monitor,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\jak-zapojit-monitor.md,jak zapojit monitor,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\konfigurator-herniho-pc.md,konfigurator herniho pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\ntb-jako-monitor.md,ntb jako monitor,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\prvni-zapnuti-pc-a-odstranovani-problemu.md,prvni zapnuti pc a odstranovani problemu,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\rgb-a-design-pocitace.md,rgb a design pocitace,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\snimek-a-nahravani-obrazovky-pc.md,snimek a nahravani obrazovky pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\split-screen-gaming.md,split screen gaming,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\srovnani-cpu.md,srovnani cpu,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\srovnani-gpu.md,srovnani gpu,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\taktovani-pc.md,taktovani pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\upgrade-pc-zvyseni-vykonu.md,upgrade pc zvyseni vykonu,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\vr-gaming.md,vr gaming,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\vymena-a-instalace-graficke-karty.md,vymena a instalace graficke karty,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\zachrana-dat-z-disku.md,zachrana dat z disku,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\obsahovy-plan-odevzdano dale na kontrolu lidem\zrychleni-pc-a-optimalizace.md,zrychleni pc a optimalizace,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\memory\feedback_no_tables.md,feedback no tables,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\memory\MEMORY.md,Memory Index,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\AUDIT-25-CLANKU-2026-03-28.md,Audit 25 článků — Hellocomp Obsahový plán,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.143
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\CONTENT-MAP-2026-03-28.md,CONTENT MAP — Hellocomp SEO + COPY,HelloComp_PREZENTACE\content-hub.html,HelloComp — Content Hub,0.333
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\CONTENT-WORKFLOW.md,SEO Content Workflow (HelloComp),HelloComp_PREZENTACE\content-hub.html,HelloComp — Content Hub,0.400
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\DEEP-CONTENT-ANALYTICS-2026-03-24.md,Validation Addendum (careful re-check),,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\HUGE-TODO-MANUALNI-REVIZE-83.md,HUGE TODO - Manualni Revize 83 clanku (Blog kvalita + KWA),,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\KWA-MASTER-ALL-TOPICS-MIN15-2026-03-24.md,KWA Master List - vsechna temata (min. 15 na tema),,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\KWA-OPTIMIZED-TOP-KEYWORDS-2026-03-24.md,KWA Optimized - Top Keywords per Article (2026-03-24),,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\MANAGEMENT-PACK-ALL-40-PIPELINE-ARTICLES-2026-03-24.md,MANAGEMENT PACK ALL 40 PIPELINE ARTICLES 2026 03 24,,,0.000
